,value
2004-01-01,100.60943415950887
2004-02-01,102.970031787519
2004-03-01,110.26115642945729
2004-04-01,112.03112943278244
2004-05-01,104.95818366053672
2004-06-01,102.64564098627537
2004-07-01,100.55568080633456
2004-08-01,94.71751481531282
2004-09-01,91.70614364714704
2004-10-01,88.74391214485284
2004-11-01,93.59854191188127
2004-12-01,97.1055838708579
2005-01-01,100.73206139512243
2005-02-01,107.90448241393607
2005-03-01,110.29527272234847
2005-04-01,109.03141507423352
2005-05-01,110.1977556060094
2005-06-01,103.932234798342
2005-07-01,102.65690060261456
2005-08-01,95.85014817802751
2005-09-01,91.97002123506509
2005-10-01,89.68814091119211
2005-11-01,94.88482863950365
2005-12-01,95.84094103586239
2006-01-01,100.34334435567379
2006-02-01,105.54573289902353
2006-03-01,111.02487240895108
2006-04-01,112.08088812872815
2006-05-01,110.88571926103639
2006-06-01,107.31164200601577
2006-07-01,105.78329520174096
2006-08-01,95.73716996723078
2006-09-01,91.91526050401254
2006-10-01,90.02245454350425
2006-11-01,94.2717048073066
2006-12-01,99.00794458544178
2007-01-01,101.57210508469024
2007-02-01,105.16968704607493
2007-03-01,108.9112916064619
2007-04-01,113.2511855756494
2007-05-01,112.14676238025126
2007-06-01,108.13630853661041
2007-07-01,100.76898058542263
2007-08-01,97.61432264613346
2007-09-01,93.77311758043707
2007-10-01,92.68737719345802
2007-11-01,95.38260351805197
2007-12-01,97.79719109754936
2008-01-01,103.75782712614378
2008-02-01,107.58515813897777
2008-03-01,111.73849283522436
2008-04-01,113.81257645167707
2008-05-01,108.34594239813305
2008-06-01,107.0106575672854
2008-07-01,101.75925469141443
2008-08-01,96.4722443035133
2008-09-01,93.58946145970225
2008-10-01,95.83988262246879
2008-11-01,92.50808373076914
2008-12-01,99.88655670918297
2009-01-01,99.63426045676835
2009-02-01,107.38022994002843
2009-03-01,112.08576016805438
2009-04-01,114.32244466271857
2009-05-01,113.28270719743013
2009-06-01,109.83669447039985
2009-07-01,102.6025498555031
